tipo,subtipo,vencimento,qtdMinima,taxa,msg_patrocinado,patrocinado,emissor,liquidez,incentivada,qualificado,juros,amortizacao,carencia,rating,agencia,preco,corretora,nr,a,investir,tp_d,chat,enable_popup,url,tp_mercado,tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla,vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total,rico_tipo,xp_tipo,cod_cetip,escalonado,avista_id
DEB,,1574 dias,1049.86,CDI + 4.1%,,False,ALUBAR METAIS E CABOS S/A,No vencimento,False,True,4.1,Vencimento,10/06/2027,,,1049.86,EQI Investimentos,0.0,EQI Investimentos,False,Corretora,False,,,S,15.0,166.24,1574,1080,0.066743,1.411,18.31,105.56,89.73,0.059316,1.25,16.12,2158.12,1991.88,942.02,89.73,CDI,0.0215,26.18,1324.68,LCI/LCA CDI + 3.48%,18.31,120000.0,4.1,,,ALMC12,,
DEB,,1574 dias,1049.86,CDI + 4.1%,,False,ALUBAR METAIS E CABOS S/A,No vencimento,False,True,4.1,Vencimento,10/06/2027,,,1049.86,Necton,0.0,Necton,False,Corretora,False,,,S,15.0,166.24,1574,1080,0.066743,1.411,18.31,105.56,89.73,0.059316,1.25,16.12,2158.12,1991.88,942.02,89.73,CDI,0.0215,26.18,1324.68,LCI/LCA CDI + 3.48%,18.31,120000.0,4.1,,,ALMC12,,
DEB,,1479 dias,1094.32,CDI + 4.1%,,False,ALUBAR METAIS E CABOS S/A,No vencimento,False,True,4.1,Vencimento,10/06/2027,,,1094.32,BTG Pactual digital,0.0,BTG Pactual digital,False,Banco,False,,,S,15.0,159.61,1479,1018,0.066743,1.411,18.31,97.23,82.65,0.059191,1.25,16.08,2158.35,1998.75,904.43,82.65,CDI,0.0222,25.39,1372.19,LCI/LCA CDI + 3.48%,18.31,130000.0,4.1,,,ALMC12,,
CRA,,1578 dias,1008.127533,CDI + 4.0%,,False,AGROGALAXY ,No Vencimento,True,True,4.0,,No vencimento,,,1008.127533,Rico,0.0,Rico,False,Corretora,False,,,S,0.0,0.0,1578,1088,0.066361,1.4029,18.2,105.81,105.81,0.066361,1.4,18.2,2074.79,2074.79,1066.67,105.81,CDI,0.0222,27.36,1283.94,CDB CDI + 4.71%,18.2,120000.0,4.0,privado,,,,
CRA,,1578 dias,1008.127533,CDI + 4.0%,,False,AGROGALAXY ,No Vencimento,True,True,4.0,Semestral a partir de: 18/09/2024,Sem carência,,,1008.127533,XP,0.0,XP,False,Corretora,False,,,S,0.0,0.0,1578,1088,0.066361,1.4029,18.2,105.81,105.81,0.066361,1.4,18.2,2074.79,2074.79,1066.67,105.81,CDI,0.0222,27.36,1283.94,CDB CDI + 4.71%,18.2,120000.0,4.0,,privado,,,
DEB,,1063 dias,1000.56,CDI + 3.8%,,False,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GE,No vencimento,False,True,3.8,Vencimento,15/01/2026,,,1000.56,EQI Investimentos,0.0,EQI Investimentos,False,Corretora,False,,,S,15.0,92.31,1063,731,0.065597,1.3866,17.97,61.5,52.28,0.057545,1.22,15.6,1615.93,1523.63,523.07,52.28,CDI,0.0215,17.04,1171.09,LCI/LCA CDI + 3.23%,17.97,150000.0,3.8,,,AERI11,,
DEB,,1063 dias,1000.56,CDI + 3.8%,,False,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GE,No vencimento,False,True,3.8,Vencimento,15/01/2026,,,1000.56,Necton,0.0,Necton,False,Corretora,False,,,S,15.0,92.31,1063,731,0.065597,1.3866,17.97,61.5,52.28,0.057545,1.22,15.6,1615.93,1523.63,523.07,52.28,CDI,0.0215,17.04,1171.09,LCI/LCA CDI + 3.23%,17.97,150000.0,3.8,,,AERI11,,
DEB,,1667 dias,1084.75,CDI + 3.8%,,False,ENAUTA PARTICIPACOES LTDA,No vencimento,False,True,3.8,Vencimento,15/12/2027,,,1084.75,BTG Pactual digital,0.0,BTG Pactual digital,False,Banco,False,,,S,15.0,182.72,1667,1148,0.065597,1.3866,17.97,112.29,95.45,0.058391,1.23,15.85,2302.86,2120.14,1035.39,95.45,CDI,0.0222,29.07,1400.07,LCI/LCA CDI + 3.23%,17.97,120000.0,3.8,,,ENAT21,,
DEB,,1667 dias,1087.821011,CDI + 3.7%,,False,ENAUTA PARTICIPACOES S.A. ,No Vencimento,False,True,3.7,,No vencimento,,,1087.821011,Rico,0.0,Rico,False,Corretora,False,,,S,15.0,181.72,1667,1148,0.065214,1.3785,17.86,111.36,94.66,0.058038,1.23,15.74,2299.26,2117.54,1029.72,94.66,CDI,0.0222,29.07,1404.03,LCI/LCA CDI + 3.15%,17.86,120000.0,3.7,privado,,,,
DEB,,1667 dias,1087.821011,CDI + 3.7%,,False,ENAUTA PARTICIPACOES S.A. ,No Vencimento,False,True,3.7,Anual a partir de: 15/12/2026,Sem carência,,,1087.821011,XP,0.0,XP,False,Corretora,False,,,S,15.0,181.72,1667,1148,0.065214,1.3785,17.86,111.36,94.66,0.058038,1.23,15.74,2299.26,2117.54,1029.72,94.66,CDI,0.0222,29.07,1404.03,LCI/LCA CDI + 3.15%,17.86,120000.0,3.7,,privado,,,
DEB,,1814 dias,951.032773,CDI + 3.6%,,False,GPA ,No Vencimento,False,True,3.6,,No vencimento,,,951.032773,Rico,0.0,Rico,False,Corretora,False,,,S,15.0,177.64,1814,1248,0.064831,1.3703,17.74,124.53,105.85,0.057867,1.22,15.69,2135.32,1957.68,1006.65,105.85,CDI,0.0222,31.97,1255.07,LCI/LCA CDI + 3.06%,17.74,110000.0,3.6,privado,,,,
DEB,,1814 dias,951.032773,CDI + 3.6%,,False,GPA ,No Vencimento,False,True,3.6,Anual a partir de: 10/05/2027,Sem carência,,,951.032773,XP,0.0,XP,False,Corretora,False,,,S,15.0,177.64,1814,1248,0.064831,1.3703,17.74,124.53,105.85,0.057867,1.22,15.69,2135.32,1957.68,1006.65,105.85,CDI,0.0222,31.97,1255.07,LCI/LCA CDI + 3.06%,17.74,110000.0,3.6,,privado,,,
DEB,,1083 dias,968.03,CDI + 3.5%,,False,COMPANHIA BRASILEIRA DE DISTRIBUICAO,No vencimento,False,True,3.5,Vencimento,10/05/2026,,,968.03,BTG Pactual digital,0.0,BTG Pactual digital,False,Banco,False,,,S,15.0,89.6,1083,746,0.064447,1.3622,17.63,61.71,52.45,0.056541,1.19,15.31,1565.38,1475.78,507.75,52.45,CDI,0.0222,18.04,1142.62,LCI/LCA CDI + 2.98%,17.63,150000.0,3.5,,,CBRDA8,,
DEB,,1693 dias,1039.621496,CDI + 3.45%,,False,AMBIPAR ,No Vencimento,False,False,3.45,,No vencimento,Fitch,Fitch,1039.621496,Rico,0.0,Rico,False,Corretora,False,,,S,15.0,173.85,1693,1166,0.064255,1.3581,17.57,111.48,94.76,0.057186,1.21,15.5,2198.63,2024.78,985.16,94.76,CDI,0.0222,29.59,1347.2,LCI/LCA CDI + 2.93%,17.57,120000.0,3.45,privado,,,,
DEB,,1693 dias,1039.621496,CDI + 3.45%,,False,AMBIPAR ,No Vencimento,False,False,3.45,Anual a partir de: 10/01/2025,Sem carência,AA-,Fitch,1039.621496,XP,0.0,XP,False,Corretora,False,,,S,15.0,173.85,1693,1166,0.064255,1.3581,17.57,111.48,94.76,0.057186,1.21,15.5,2198.63,2024.78,985.16,94.76,CDI,0.0222,29.59,1347.2,LCI/LCA CDI + 2.93%,17.57,120000.0,3.45,,privado,,,
DEB,,2794 dias,1061.244771,CDI + 3.4%,,False,SIMPAR ,No Vencimento,False,False,3.4,,No vencimento,Fitch,Fitch,1061.244771,Rico,0.0,Rico,False,Corretora,False,,,S,15.0,385.92,2794,1922,0.064063,1.354,17.51,242.43,206.07,0.058219,1.23,15.8,3634.05,3248.13,2186.88,206.07,CDI,0.0222,53.3,1626.87,LCI/LCA CDI + 2.89%,17.51,73000.0,3.4,privado,,,,
DEB,,2794 dias,1061.244771,CDI + 3.4%,,False,SIMPAR ,No Vencimento,False,False,3.4,Anual a partir de: 15/01/2029,Sem carência,AAA,Fitch,1061.244771,XP,0.0,XP,False,Corretora,False,,,S,15.0,385.92,2794,1922,0.064063,1.354,17.51,242.43,206.07,0.058219,1.23,15.8,3634.05,3248.13,2186.88,206.07,CDI,0.0222,53.3,1626.87,LCI/LCA CDI + 2.89%,17.51,73000.0,3.4,,privado,,,
CDB,,1800 dias,5000.0,126.0% CDI,,False,BANCO DIGIMAIS,No vencimento,False,False,126.0,Vencimento,0,BBB-,Fitch,5000.0,Banco Daycoval,16.0,Banco Daycoval,False,Corretora,False,,,P,15.0,906.88,1800,1239,0.063993,1.3525,17.49,120.92,102.78,0.057074,1.21,15.46,11045.87,10138.99,5138.99,102.78,CDI,0.0222,31.71,6585.29,LCI/LCA 107.1% CDI,17.49,110000.0,126.0,,,,,
CDB,,2161 dias,1000.0,125.0% CDI,,False,BANCO MASTER,No Vencimento,False,False,125.0,,,BBB-,Fitch,1000.0,Nuinvest,16.0,Nuinvest,False,Nuinvest,False,,,P,15.0,235.19,2161,1486,0.063485,1.3417,17.34,156.79,133.27,0.057017,1.2,15.45,2567.9,2332.72,1332.72,133.27,CDI,0.0222,39.14,1391.39,LCI/LCA 106.25% CDI,17.34,97000.0,125.0,,,,,
CDB,,2190 dias,1000.0,125.0% CDI,,False,BANCO MASTER S/A ,No Vencimento,False,False,125.0,,No vencimento,Fitch,Fitch,1000.0,Rico,0.0,Rico,False,Corretora,False,,,P,15.0,239.86,2190,1505,0.063485,1.3417,17.34,159.91,135.92,0.057048,1.2,15.46,2599.05,2359.19,1359.19,135.92,CDI,0.0222,39.73,1397.28,LCI/LCA 106.25% CDI,17.34,96000.0,125.0,bancario,,,,
CDB,,2160 dias,500.0,125.0% CDI,,False,BANCO MASTER,No vencimento,False,False,125.0,Vencimento,2160 dias dias,BBB-,Fitch,500.0,Nova Futura,16.0,Nova Futura,False,Corretora,False,,,P,15.0,117.59,2160,1486,0.063485,1.3417,17.34,156.79,133.27,0.057017,1.2,15.45,1283.95,1166.36,666.36,133.27,CDI,0.0222,39.14,695.69,LCI/LCA 106.25% CDI,17.34,97000.0,125.0,,,,,
CDB,,2190 dias,1000.0,125.0% CDI,,False,BANCO MASTER S/A ,No Vencimento,False,False,125.0,,Sem carência,BBB-,Fitch,1000.0,XP,0.0,XP,False,Corretora,False,,,P,15.0,239.86,2190,1505,0.063485,1.3417,17.34,159.91,135.92,0.057048,1.2,15.46,2599.05,2359.19,1359.19,135.92,CDI,0.0222,39.73,1397.28,LCI/LCA 106.25% CDI,17.34,96000.0,125.0,,bancario,,,
CDB,,2165 dias,1000.0,125.0% CDI,,False,BANCO MASTER,No vencimento,False,False,125.0,Vencimento,2029-04-27,BBB-,Fitch,1000.0,Órama,16.0,Orama,True,Distribuidora,True,,,P,15.0,235.92,2165,1489,0.063485,1.3417,17.34,157.28,133.69,0.057022,1.2,15.45,2572.79,2336.87,1336.87,133.69,CDI,0.0222,39.23,1392.32,LCI/LCA 106.25% CDI,17.34,97000.0,125.0,,,,,
DEB,,1242 dias,1035.17,CDI + 3.2%,,False,AURA ALMAS MINERACAO S.A.,No vencimento,False,True,3.2,Vencimento,13/07/2026,,,1035.17,EQI Investimentos,0.0,EQI Investimentos,False,Corretora,False,,,S,15.0,110.94,1242,852,0.063295,1.3376,17.29,71.45,60.73,0.055714,1.18,15.07,1774.76,1663.82,628.65,60.73,CDI,0.0215,20.13,1243.58,LCI/LCA CDI + 2.72%,17.29,150000.0,3.2,,,AALM11,,
DEB,,1242 dias,1035.17,CDI + 3.2%,,False,AURA ALMAS MINERACAO S.A.,No vencimento,False,True,3.2,Vencimento,13/07/2026,,,1035.17,Necton,0.0,Necton,False,Corretora,False,,,S,15.0,110.94,1242,852,0.063295,1.3376,17.29,71.45,60.73,0.055714,1.18,15.07,1774.76,1663.82,628.65,60.73,CDI,0.0215,20.13,1243.58,LCI/LCA CDI + 2.72%,17.29,150000.0,3.2,,,AALM11,,
CDB,,1827 dias,100.0,124.5% CDI,,False,NEON FINANCEIRA,No Vencimento,False,False,124.5,,,,,100.0,Nuinvest,0.0,Nuinvest,False,Nuinvest,False,,,S,15.0,18.2,1827,1257,0.063231,1.3363,17.27,121.35,103.15,0.0564,1.19,15.27,221.35,203.15,103.15,103.15,CDI,0.0222,32.23,132.23,LCI/LCA 105.83% CDI,17.27,110000.0,124.5,,,,,
CDB,,1440 dias,5000.0,124.0% CDI,,False,BANCO DIGIMAIS,No vencimento,False,False,124.0,Vencimento,0,BBB-,Fitch,5000.0,Banco Daycoval,16.0,Banco Daycoval,False,Corretora,False,,,P,15.0,649.65,1440,991,0.062977,1.3309,17.19,86.62,73.63,0.055691,1.18,15.06,9331.03,8681.37,3681.37,73.63,CDI,0.0222,24.64,6232.1,LCI/LCA 105.4% CDI,17.19,130000.0,124.0,,,,,
CRI,,2766 dias,947.74179701,CDI + 3.1%,,False,PERNAMBUCANAS ,No Vencimento,True,True,3.1,,No vencimento,,,947.74179701,Rico,0.0,Rico,False,Corretora,False,,,S,0.0,0.0,2766,1904,0.06291,1.3294,17.17,231.16,231.16,0.06291,1.33,17.17,3138.52,3138.52,2190.78,231.16,CDI,0.0222,52.69,1447.07,CDB CDI + 3.65%,17.17,75000.0,3.1,privado,,,,
CRI,,2766 dias,947.74179701,CDI + 3.1%,,False,PERNAMBUCANAS ,No Vencimento,True,True,3.1,Mensal a partir de: 18/01/2023,Sem carência,,,947.74179701,XP,0.0,XP,False,Corretora,False,,,S,0.0,0.0,2766,1904,0.06291,1.3294,17.17,231.16,231.16,0.06291,1.33,17.17,3138.52,3138.52,2190.78,231.16,CDI,0.0222,52.69,1447.07,CDB CDI + 3.65%,17.17,75000.0,3.1,,privado,,,
CDB,,1825 dias,1000.0,123.0% CDI,,False,BANCO DIGIMAIS S.A. ,No Vencimento,False,False,123.0,,No vencimento,Fitch,Fitch,1000.0,Rico,0.0,Rico,False,Corretora,False,,,P,15.0,178.65,1825,1256,0.062469,1.3201,17.04,119.1,101.24,0.055693,1.18,15.06,2191.02,2012.37,1012.37,101.24,CDI,0.0222,32.2,1322.04,LCI/LCA 104.55% CDI,17.04,110000.0,123.0,bancario,,,,
CDB,,1825 dias,1000.0,123.0% CDI,,False,BANCO DIGIMAIS S.A. ,No Vencimento,False,False,123.0,Vencimento,Sem carência,BBB-,Fitch,1000.0,XP,0.0,XP,False,Corretora,False,,,P,15.0,178.65,1825,1256,0.062469,1.3201,17.04,119.1,101.24,0.055693,1.18,15.06,2191.02,2012.37,1012.37,101.24,CDI,0.0222,32.2,1322.04,LCI/LCA 104.55% CDI,17.04,110000.0,123.0,,bancario,,,
FIDC,,1606 dias,809.700228,CDI + 2.9%,,False,CREDITAS ,No Vencimento,False,True,2.9,,No vencimento,S&P,S&P,809.700228,Rico,0.0,Rico,False,Corretora,False,,,S,15.0,120.13,1606,1107,0.062139,1.3131,16.95,98.91,84.07,0.055132,1.16,14.9,1610.54,1490.42,680.71,84.07,CDI,0.0222,27.9,1035.59,LCI/LCA 2.46% CDI,16.95,130000.0,2.9,privado,,,,
FIDC,,1606 dias,809.700228,CDI + 2.9%,,False,CREDITAS ,No Vencimento,False,True,2.9,Mensal a partir de: 18/04/0022,Sem carência,brAAA,S&P,809.700228,XP,0.0,XP,False,Corretora,False,,,S,15.0,120.13,1606,1107,0.062139,1.3131,16.95,98.91,84.07,0.055132,1.16,14.9,1610.54,1490.42,680.71,84.07,CDI,0.0222,27.9,1035.59,LCI/LCA 2.46% CDI,16.95,130000.0,2.9,,privado,,,
CDB,,1462 dias,100.0,122.3% CDI,,False,NEON FINANCEIRA,No Vencimento,False,False,122.3,,,,,100.0,Nuinvest,0.0,Nuinvest,False,Nuinvest,False,,,S,15.0,13.01,1462,1006,0.062114,1.3125,16.94,86.76,73.75,0.05493,1.16,14.84,186.76,173.75,73.75,73.75,CDI,0.0222,25.06,125.06,LCI/LCA 103.95% CDI,16.94,130000.0,122.3,,,,,
CRA,,1487 dias,1013.32,CDI + 2.85%,,False,MADERO,No vencimento,True,False,2.85,Vencimento,15/03/2027,,,1013.32,EQI Investimentos,0.0,EQI Investimentos,False,Corretora,False,,,S,0.0,0.0,1487,1020,0.061946,1.3089,16.89,88.07,88.07,0.061946,1.31,16.89,1905.76,1905.76,892.44,88.07,CDI,0.0215,24.56,1262.17,CDB CDI + 3.35%,16.89,130000.0,2.85,,,CRA022000RU,,
CRA,,1487 dias,1013.32,CDI + 2.85%,,False,MADERO,No vencimento,True,False,2.85,Vencimento,15/03/2027,,,1013.32,Necton,0.0,Necton,False,Corretora,False,,,S,0.0,0.0,1487,1020,0.061946,1.3089,16.89,88.07,88.07,0.061946,1.31,16.89,1905.76,1905.76,892.44,88.07,CDI,0.0215,24.56,1262.17,CDB CDI + 3.35%,16.89,130000.0,2.85,,,CRA022000RU,,
CDB,,2000 dias,1080.91682787,122.0% CDI,,False,BANCO MASTER,No vencimento,False,False,122.0,Vencimento,2028-11-13,BBB-,Fitch,1080.91682787,Órama,16.0,Orama,True,Distribuidora,True,,,S,15.0,218.33,2000,1377,0.061961,1.3093,16.89,134.65,114.46,0.055421,1.17,14.98,2536.42,2318.1,1237.18,114.46,CDI,0.0222,35.81,1467.97,LCI/LCA 103.7% CDI,16.89,110000.0,122.0,,,,,
CRA,,1758 dias,995.934509,CDI + 2.8%,,False,ASA ,No Vencimento,True,False,2.8,,No vencimento,,,995.934509,Rico,0.0,Rico,False,Corretora,False,,,S,0.0,0.0,1758,1211,0.061753,1.3048,16.83,111.19,111.19,0.061753,1.3,16.83,2103.33,2103.33,1107.39,111.19,CDI,0.0222,30.89,1303.56,CDB CDI + 3.29%,16.83,120000.0,2.8,privado,,,,
CRA,,1758 dias,995.934509,CDI + 2.8%,,False,ASA ,No Vencimento,True,False,2.8,Mensal a partir de: 17/03/2025,Sem carência,,,995.934509,XP,0.0,XP,False,Corretora,False,,,S,0.0,0.0,1758,1211,0.061753,1.3048,16.83,111.19,111.19,0.061753,1.3,16.83,2103.33,2103.33,1107.39,111.19,CDI,0.0222,30.89,1303.56,CDB CDI + 3.29%,16.83,120000.0,2.8,,privado,,,
CRI,,1791 dias,1002.464602,CDI + 2.75%,,False,TRUE SECURITIZADORA S.A.  ,No Vencimento,True,False,2.75,,No vencimento,,,1002.464602,Rico,0.0,Rico,False,Corretora,False,,,S,0.0,0.0,1791,1233,0.061559,1.3007,16.78,113.57,113.57,0.061559,1.3,16.78,2140.96,2140.96,1138.5,113.57,CDI,0.0222,31.53,1318.54,CDB CDI + 3.24%,16.78,120000.0,2.75,privado,,,,
CRI,,1791 dias,1002.464602,CDI + 2.75%,,False,TRUE SECURITIZADORA S.A.  ,No Vencimento,True,False,2.75,,Sem carência,,,1002.464602,XP,0.0,XP,False,Corretora,False,,,S,0.0,0.0,1791,1233,0.061559,1.3007,16.78,113.57,113.57,0.061559,1.3,16.78,2140.96,2140.96,1138.5,113.57,CDI,0.0222,31.53,1318.54,CDB CDI + 3.24%,16.78,120000.0,2.75,,privado,,,
CDB,,1460 dias,1000.0,121.0% CDI,,False,BANCO DIGIMAIS S.A. ,No Vencimento,False,False,121.0,,No vencimento,Fitch,Fitch,1000.0,Rico,0.0,Rico,False,Corretora,False,,,P,15.0,128.29,1460,1006,0.061454,1.2985,16.74,85.53,72.7,0.054326,1.15,14.67,1855.27,1726.98,726.98,72.7,CDI,0.0222,25.06,1250.58,LCI/LCA 102.85% CDI,16.74,130000.0,121.0,bancario,,,,
CDB,,1460 dias,1000.0,121.0% CDI,,False,BANCO DIGIMAIS S.A. ,No Vencimento,False,False,121.0,Vencimento,Sem carência,BBB-,Fitch,1000.0,XP,0.0,XP,False,Corretora,False,,,P,15.0,128.29,1460,1006,0.061454,1.2985,16.74,85.53,72.7,0.054326,1.15,14.67,1855.27,1726.98,726.98,72.7,CDI,0.0222,25.06,1250.58,LCI/LCA 102.85% CDI,16.74,130000.0,121.0,,bancario,,,
CDB,,1447 dias,5000.0,121.0% CDI,,False,NEON FINANCEIRA,No vencimento,False,False,121.0,Vencimento,2027-05-10,,,5000.0,Órama,0.0,Orama,True,Distribuidora,True,,,P,15.0,632.93,1447,996,0.061454,1.2985,16.74,84.39,71.73,0.054309,1.15,14.66,9219.56,8586.62,3586.62,71.73,CDI,0.0222,24.78,6239.03,LCI/LCA 102.85% CDI,16.74,140000.0,121.0,,,,,
CDB,,83 dias,280.8,120.0% CDI,,False,PARANA BANCO,No Vencimento,False,False,120.0,,,AA+,S&P,280.8,Nuinvest,24.0,Nuinvest,False,Nuinvest,False,,,S,22.5,2.27,83,58,0.060946,1.2877,16.6,3.6,2.79,0.047416,1.0,12.69,290.9,288.63,7.83,2.79,CDI,0.0222,1.3,284.44,LCI/LCA 93.0% CDI,16.6,240000.0,120.0,,,,,
CDB,,105 dias,1030.0,120.0% CDI,,False,BANCO PAN,No Vencimento,False,False,120.0,,,AAA,S&P,1030.0,Nuinvest,25.0,Nuinvest,False,Nuinvest,False,,,S,22.5,10.69,105,74,0.060946,1.2877,16.6,4.61,3.57,0.047467,1.0,12.7,1077.5,1066.81,36.81,3.57,CDI,0.0222,1.66,1047.08,LCI/LCA 93.0% CDI,16.6,240000.0,120.0,,,,,
CDB,,107 dias,1170.0,120.0% CDI,,False,BANCO BMG,No Vencimento,False,False,120.0,,,B+,Fitch,1170.0,Nuinvest,12.0,Nuinvest,False,Nuinvest,False,,,S,22.5,12.48,107,76,0.060946,1.2877,16.6,4.74,3.67,0.047474,1.0,12.71,1225.45,1212.97,42.97,3.67,CDI,0.0222,1.7,1189.93,LCI/LCA 93.0% CDI,16.6,240000.0,120.0,,,,,
